,Atual,2023,2022,2021,2020,2019,acao
PAYOUT,"30,17%","25,99%","29,39%","33,07%","18,14%","35,97%",bpac5
MARGEM LÍQUIDA,"18,85%","18,85%","15,80%","35,65%","24,86%","33,69%",bpac5
MARGEM BRUTA,"23,47%","23,47%","17,34%","33,71%","-7,36%","31,18%",bpac5
MARGEM EBIT,"24,12%","24,12%","19,52%","47,41%","7,72%","43,67%",bpac5
MARGEM EBITDA,-,"4,84%","18,31%","45,96%","13,57%","38,56%",bpac5
EV/EBITDA,-,"67,24","12,93","14,92","59,84","22,52",bpac5
EV/EBIT,"11,97","13,50","12,12","14,46","105,19","19,88",bpac5
P/EBITDA,-,"44,26","7,09","7,75","36,95","15,26",bpac5
P/EBIT,"7,41","8,89","6,65","7,52","64,95","13,47",bpac5
P/ATIVO,"0,21","0,26","0,17","0,19","0,26","0,37",bpac5
P/CAP.GIRO,"41,89","50,24","6,20","3,04","-4,74","0,72",bpac5
P/ATIVO CIRC LIQ,"-2,00","-2,39","-2,01","-0,57","-0,68","-1,50",bpac5
VPA,"4,29","4,29","3,68","3,25","9,28","7,41",bpac5
LPA,"0,86","0,86","0,68","0,52","1,14","1,30",bpac5
GIRO ATIVOS,"0,12","0,12","0,13","0,05","0,05","0,06",bpac5
ROE,"20,10%","20,10%","18,51%","16,01%","12,29%","17,60%",bpac5
ROIC,"24,67%","24,67%","20,95%","17,57%","-1,85%","20,42%",bpac5
ROA,"2,24%","2,24%","2,12%","1,88%","1,30%","2,13%",bpac5
PATRIMÔNIO / ATIVOS,"0,11","0,11","0,11","0,12","0,11","0,12",bpac5
PASSIVOS / ATIVOS,"1,00","1,00","0,97","0,95","0,97","0,51",bpac5
LIQUIDEZ CORRENTE,"1,01","1,01","1,03","1,10","0,92","3,24",bpac5
CAGR RECEITAS 5 ANOS,"36,43%","47,82%","46,00%","5,25%","2,49%","-0,86%",bpac5
CAGR LUCROS 5 ANOS,"21,48%","50,66%","30,57%","4,88%","41,61%","14,56%",bpac5
P/L,"9,55","10,78","7,99","6,23","13,25","51,03",engi4
P/RECEITA (PSR),"0,63","0,72","0,64","0,66","0,96","1,17",engi4
P/VP,"1,52","1,72","1,55","2,08","2,93","4,08",engi4
DIVIDEND YIELD (DY),"4,30%","5,61%","3,11%","10,30%","1,41%","2,13%",engi4
PAYOUT,"41,09%","36,26%","72,05%","28,43%","84,84%","108,59%",engi4
MARGEM LÍQUIDA,"6,64%","6,64%","8,06%","10,52%","7,23%","2,29%",engi4
MARGEM BRUTA,"27,27%","27,27%","27,13%","22,46%","17,99%","16,34%",engi4
MARGEM EBIT,"21,19%","21,19%","21,59%","18,47%","13,29%","11,77%",engi4
MARGEM EBITDA,"26,72%","26,72%","26,40%","23,29%","19,77%","22,49%",engi4
EV/EBITDA,"6,45","7,08","6,49","6,60","10,25","9,11",engi4
EV/EBIT,"8,13","8,92","7,93","8,32","15,24","17,40",engi4
P/EBITDA,"2,37","2,68","2,44","2,81","4,84","5,19",engi4
P/EBIT,"2,99","3,38","2,98","3,55","7,20","9,92",engi4
P/ATIVO,"0,27","0,30","0,29","0,32","0,43","0,59",engi4
P/CAP.GIRO,"9,74","11,00","11,38","6,25","16,31","10,00",engi4
P/ATIVO CIRC LIQ,"-0,36","-0,40","-0,38","-0,45","-0,61","-0,79",engi4
VPA,"5,20","5,20","4,81","3,68","2,90","2,49",engi4
LPA,"0,83","0,83","0,93","1,23","0,64","0,20",engi4
GIRO ATIVOS,"0,42","0,42","0,44","0,49","0,45","0,51",engi4
ROE,"15,92%","15,92%","19,38%","33,41%","22,09%","7,99%",engi4
ROIC,"11,43%","11,43%","12,77%","13,04%","8,11%","8,27%",engi4
ROA,"3,80%","3,80%","4,07%","5,60%","3,53%","1,34%",engi4
DÍVIDA LÍQUIDA / EBITDA,"3,28","3,28","3,21","2,94","3,53","3,23",engi4
DÍVIDA LÍQUIDA / EBIT,"4,13","4,13","3,93","3,70","5,25","6,16",engi4
DÍVIDA BRUTA / PATRIMÔNIO,"2,72","2,72","2,56","2,74","3,04","3,00",engi4
PATRIMÔNIO / ATIVOS,"0,17","0,17","0,18","0,15","0,15","0,14",engi4
PASSIVOS / ATIVOS,"0,77","0,77","0,79","0,83","0,84","0,84",engi4
LIQUIDEZ CORRENTE,"1,12","1,12","1,11","1,22","1,10","1,31",engi4
CAGR RECEITAS 5 ANOS,"7,47%","12,56%","14,21%","17,81%","11,24%","19,17%",engi4
CAGR LUCROS 5 ANOS,"37,42%","16,97%","33,50%","74,09%","35,54%","11,59%",engi4
P/L,"0,09","0,20","-0,08","-0,51","-0,29","-0,56",atmp3
P/RECEITA (PSR),"0,17","0,39","0,05","0,07","0,07","0,28",atmp3
P/VP,"0,18","0,41","-0,11","0,45","0,37","-1,43",atmp3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",atmp3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",atmp3
MARGEM LÍQUIDA,"191,79%","191,79%","-67,74%","-13,00%","-22,72%","-48,96%",atmp3
MARGEM BRUTA,"-12,72%","-12,72%","-10,94%","8,53%","1,81%","-17,07%",atmp3
MARGEM EBIT,"-71,75%","-71,75%","-47,73%","-10,74%","-15,64%","-29,80%",atmp3
MARGEM EBITDA,"-35,30%","-35,30%","-31,07%","-0,28%","-2,66%","-18,20%",atmp3
EV/EBITDA,"-2,05","-2,66","-1,58","-129,02","-12,84","-3,99",atmp3
EV/EBIT,"-1,01","-1,31","-1,03","-3,34","-2,18","-2,44",atmp3
P/EBITDA,"-0,49","-1,11","-0,16","-23,86","-2,45","-1,51",atmp3
P/EBIT,"-0,24","-0,54","-0,11","-0,62","-0,42","-0,92",atmp3
P/ATIVO,"0,04","0,08","0,02","0,04","0,03","0,18",atmp3
P/CAP.GIRO,"-0,93","-2,10","-0,04","-0,13","-0,18","-1,02",atmp3
P/ATIVO CIRC LIQ,"-0,05","-0,11","-0,03","-0,05","-0,04","-0,22",atmp3
VPA,"10,86","10,86","-11,23","5,79","6,26","-6,20",atmp3
LPA,"22,09","22,09","-17,04","-5,10","-8,04","-15,81",atmp3
GIRO ATIVOS,"0,21","0,21","0,39","0,59","0,53","0,67",atmp3
ROE,"203,41%","203,41%","-151,79%","-88,18%","-128,42%","-255,18%",atmp3
ROIC,"-42,60%","-42,60%","-340,05%","-35,25%","-33,09%","-102,93%",atmp3
ROA,"40,84%","40,84%","-26,67%","-7,72%","-12,05%","-32,62%",atmp3
DÍVIDA LÍQUIDA / EBITDA,"-1,55","-1,55","-1,41","-105,15","-10,40","-2,48",atmp3
DÍVIDA LÍQUIDA / EBIT,"-0,76","-0,76","-0,92","-2,72","-1,77","-1,51",atmp3
DÍVIDA BRUTA / PATRIMÔNIO,"0,79","0,79","-1,31","2,15","1,88","-2,70",atmp3
PATRIMÔNIO / ATIVOS,"0,20","0,20","-0,18","0,09","0,09","-0,13",atmp3
PASSIVOS / ATIVOS,"0,80","0,80","1,18","0,91","0,91","1,13",atmp3
LIQUIDEZ CORRENTE,"0,86","0,86","0,32","0,42","0,48","0,49",atmp3
CAGR RECEITAS 5 ANOS,"-18,64%","-25,72%","-16,95%","-12,49%","-21,70%","-24,22%",atmp3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,atmp3
P/L,"5,54","5,44","4,76","4,50","9,90","4,64",cgra3
P/RECEITA (PSR),"0,78","0,77","0,83","1,28","1,56","1,25",cgra3
P/VP,"0,60","0,59","0,68","1,05","1,11","1,02",cgra3
DIVIDEND YIELD (DY),"5,41%","5,51%","9,71%","3,46%","4,92%","4,36%",cgra3
PAYOUT,"26,93%","26,93%","53,72%","14,64%","49,56%","17,02%",cgra3
MARGEM LÍQUIDA,"14,15%","14,15%","17,45%","28,46%","15,78%","26,94%",cgra3
MARGEM BRUTA,"51,89%","51,89%","54,49%","53,42%","53,59%","53,38%",cgra3
MARGEM EBIT,"8,49%","8,49%","14,00%","29,35%","16,87%","20,31%",cgra3
MARGEM EBITDA,-,"12,21%","16,79%","35,41%","20,13%","0,00%",cgra3
EV/EBITDA,-,"4,37","4,79","3,36","7,76",-,cgra3
EV/EBIT,"6,34","6,29","5,75","4,06","9,26","6,12",cgra3
P/EBITDA,-,"6,30","4,95","3,62","7,76",-,cgra3
P/EBIT,"9,24","9,06","5,94","4,36","9,26","6,15",cgra3
P/ATIVO,"0,42","0,41","0,48","0,72","0,78","0,69",cgra3
P/CAP.GIRO,"1,66","1,63","1,84","2,57","2,70","3,14",cgra3
P/ATIVO CIRC LIQ,"-0,75","-0,74","-0,87","-1,41","-1,55","-1,22",cgra3
VPA,"44,03","44,03","41,45","37,23","31,49","29,18",cgra3
LPA,"4,76","4,76","5,93","8,70","3,53","6,45",cgra3
GIRO ATIVOS,"0,53","0,53","0,58","0,57","0,50","0,56",cgra3
ROE,"10,82%","10,82%","14,31%","23,36%","11,23%","22,09%",cgra3
ROIC,"4,98%","4,98%","9,50%","18,20%","9,07%","11,56%",cgra3
ROA,"7,50%","7,50%","10,16%","16,11%","7,92%","14,97%",cgra3
DÍVIDA LÍQUIDA / EBITDA,-,"-2,04","0,00","-0,16","0,00",-,cgra3
DÍVIDA LÍQUIDA / EBIT,"-2,94","-2,94","0,00","-0,20","0,00","0,00",cgra3
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","0,00","0,00","0,00",cgra3
PATRIMÔNIO / ATIVOS,"0,69","0,69","0,71","0,69","0,71","0,68",cgra3
PASSIVOS / ATIVOS,"0,31","0,31","0,29","0,31","0,29","0,32",cgra3
LIQUIDEZ CORRENTE,"2,28","2,28","2,45","2,38","2,43","2,07",cgra3
CAGR RECEITAS 5 ANOS,"7,07%","7,86%","9,76%","9,46%","3,02%","2,74%",cgra3
CAGR LUCROS 5 ANOS,"-5,87%","12,21%","14,16%","22,25%","8,77%","16,84%",cgra3
P/L,"-34,80",,"-1.172,75","-285,18","-259,46","-183,16",mapt4
P/RECEITA (PSR),-,,-,-,-,-,mapt4
P/VP,"-1,34",,"-1,54","-4,18","-7,67","-5,35",mapt4
DIVIDEND YIELD (DY),-,,"0,00%","0,00%","0,00%","0,00%",mapt4
PAYOUT,-,,"0,00%","0,00%","0,00%","0,00%",mapt4
MARGEM LÍQUIDA,-,,"0,00%","0,00%","0,00%","0,00%",mapt4
MARGEM BRUTA,-,,"0,00%","0,00%","0,00%","0,00%",mapt4
MARGEM EBIT,-,,"0,00%","0,00%","0,00%","0,00%",mapt4
MARGEM EBITDA,-,,"0,00%","0,00%","0,00%","0,00%",mapt4
EV/EBITDA,-,,-,-,-,-,mapt4
EV/EBIT,"-30,85",,"-139,64","-165,85","-266,40","-277,20",mapt4
P/EBITDA,-,,-,-,-,-,mapt4
P/EBIT,"-34,80",,"-60,14","-140,17","-260,99","-185,44",mapt4
P/ATIVO,"10,81",,"12,14","32,22","572,82","38,77",mapt4
P/CAP.GIRO,"-1.670,57",,-,"-6.202,61","-8.821,49","-7.463,81",mapt4
P/ATIVO CIRC LIQ,"-10,81",,"-12,14","-32,22","-57,28","-38,77",mapt4
VPA,"-6,80",,"-6,63","-6,45","-6,26","-6,07",mapt4
LPA,"-0,26",,"-0,01","-0,09","-0,19","-0,18",mapt4
GIRO ATIVOS,-,,"0,00","0,00","0,00","0,00",mapt4
ROE,"-3,84%",,"-0,13%","-1,47%","-2,96%","-2,92%",mapt4
ROIC,"3,84%",,"2,56%","2,98%","2,94%","2,89%",mapt4
ROA,"-31,05%",,"-1,03%","-23,12%","-220,78%","-21,17%",mapt4
DÍVIDA LÍQUIDA / EBITDA,-,,-,-,-,-,mapt4
DÍVIDA LÍQUIDA / EBIT,-,,"0,00","0,00","0,00","0,00",mapt4
DÍVIDA BRUTA / PATRIMÔNIO,-,,"0,00","0,00","0,00","0,00",mapt4
PATRIMÔNIO / ATIVOS,"-8,08",,"-7,88","-7,70","-74,68","-7,25",mapt4
PASSIVOS / ATIVOS,"9,08",,"8,88","8,69","8,47","8,25",mapt4
LIQUIDEZ CORRENTE,-,,-,"0,00","0,00","0,00",mapt4
CAGR RECEITAS 5 ANOS,-,,-%,-%,-%,-%,mapt4
CAGR LUCROS 5 ANOS,-,,-%,-%,-%,-%,mapt4
P/L,"4,12","3,96","2,49","3,66","8,91","8,14",baza3
P/RECEITA (PSR),"1,34","1,29","0,87","1,64","2,49","1,49",baza3
P/VP,"0,94","0,91","0,58","0,79","0,98","1,02",baza3
DIVIDEND YIELD (DY),"5,39%","5,61%","13,75%","6,29%","8,40%","3,52%",baza3
PAYOUT,"22,21%","22,21%","34,31%","23,20%","74,78%","28,69%",baza3
MARGEM LÍQUIDA,"32,60%","32,60%","35,05%","44,79%","27,94%","18,28%",baza3
MARGEM BRUTA,"25,89%","25,89%","33,15%","36,66%","37,94%","34,43%",baza3
MARGEM EBIT,"39,95%","39,95%","61,79%","96,41%","42,64%","27,13%",baza3
MARGEM EBITDA,-,"0,00%","20,06%","0,00%","28,30%","25,08%",baza3
EV/EBITDA,-,-,"2,97",-,"6,92","-0,56",baza3
EV/EBIT,"2,61","2,47","0,97","0,43","4,60","-0,52",baza3
P/EBITDA,-,-,"4,36",-,"8,80","5,94",baza3
P/EBIT,"3,36","3,23","1,42","1,70","5,84","5,49",baza3
P/ATIVO,"0,12","0,12","0,08","0,09","0,11","0,11",baza3
P/CAP.GIRO,"-5,02","-4,82","3,15","1,36","4,70","-0,41",baza3
P/ATIVO CIRC LIQ,"-0,13","-0,13","-0,08","-0,10","-0,12","-0,17",baza3
VPA,"104,95","104,95","86,36","52,53","43,11","39,23",baza3
LPA,"24,00","24,00","20,02","11,28","4,74","4,91",baza3
GIRO ATIVOS,"0,09","0,09","0,09","0,05","0,05","0,07",baza3
ROE,"22,86%","22,86%","23,18%","21,47%","10,99%","12,52%",baza3
ROIC,"24,40%","24,40%","24,74%","26,76%","11,82%","16,42%",baza3
ROA,"2,98%","2,98%","3,24%","2,84%","1,28%","1,34%",baza3
DÍVIDA LÍQUIDA / EBITDA,-,-,"-1,39",-,"-1,87","-6,50",baza3
DÍVIDA LÍQUIDA / EBIT,"-0,76","-0,76","-0,45","-1,27","-1,24","-6,01",baza3
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","0,00","0,00","0,00",baza3
PATRIMÔNIO / ATIVOS,"0,13","0,13","0,14","0,11","0,12","0,11",baza3
PASSIVOS / ATIVOS,"0,87","0,87","0,78","0,79","0,76","0,90",baza3
LIQUIDEZ CORRENTE,"0,71","0,71",-,-,-,"0,57",baza3
CAGR RECEITAS 5 ANOS,"22,33%","25,93%","17,64%","-2,61%","-8,12%","6,35%",baza3
CAGR LUCROS 5 ANOS,"37,33%","65,28%","77,05%","41,37%","1,30%","8,12%",baza3
P/L,"25,03","30,45","12,31","14,64","5,45","6,61",crpg5
P/RECEITA (PSR),"1,57","1,90","1,05","2,09","1,37","1,23",crpg5
P/VP,"1,32","1,61","1,04","2,28","1,38","1,26",crpg5
DIVIDEND YIELD (DY),"2,83%","2,33%","16,40%","8,35%","0,40%","3,05%",crpg5
PAYOUT,"423,15%","423,15%","201,89%","122,29%","2,19%","16,14%",crpg5
MARGEM LÍQUIDA,"6,25%","6,25%","8,51%","14,26%","25,21%","18,65%",crpg5
MARGEM BRUTA,"6,30%","6,30%","6,28%","32,73%","36,04%","23,60%",crpg5
MARGEM EBIT,"-0,27%","-0,27%","3,53%","29,56%","18,15%","18,25%",crpg5
MARGEM EBITDA,"4,40%","4,40%","6,30%","33,14%","21,31%","22,65%",crpg5
EV/EBITDA,"28,54","36,05","16,82","6,03","3,85","4,19",crpg5
EV/EBIT,"-468,17","-591,27","30,00","6,76","4,52","5,21",crpg5
P/EBITDA,"35,54","43,24","16,63","6,30","6,45","5,44",crpg5
P/EBIT,"-583,00","-709,22","29,66","7,06","7,57","6,75",crpg5
P/ATIVO,"0,93","1,13","0,80","1,67","0,95","0,92",crpg5
P/CAP.GIRO,"1,71","2,08","1,71","3,66","1,49","1,41",crpg5
P/ATIVO CIRC LIQ,"-2,97","-3,61","-1,95","-4,47","-4,35","-4,14",crpg5
VPA,"23,52","23,52","27,87","30,22","25,08","19,90",crpg5
LPA,"1,24","1,24","2,36","4,71","6,35","3,79",crpg5
GIRO ATIVOS,"0,59","0,59","0,76","0,80","0,69","0,75",crpg5
ROE,"5,27%","5,27%","8,45%","15,58%","25,34%","19,03%",crpg5
ROIC,"-0,30%","-0,30%","2,18%","31,04%","10,61%","18,13%",crpg5
ROA,"3,70%","3,70%","6,47%","23,08%","17,34%","13,92%",crpg5
DÍVIDA LÍQUIDA / EBITDA,"-7,83","-7,83","-4,05","-0,54","-2,52","-1,47",crpg5
DÍVIDA LÍQUIDA / EBIT,"128,38","128,38","-7,22","-0,61","-2,96","-1,83",crpg5
DÍVIDA BRUTA / PATRIMÔNIO,"0,01","0,009162","0,01","0,004208","0,006898","0,01",crpg5
PATRIMÔNIO / ATIVOS,"0,70","0,70","0,77","0,73","0,68","0,73",crpg5
PASSIVOS / ATIVOS,"0,30","0,30","0,23","0,27","0,32","0,27",crpg5
LIQUIDEZ CORRENTE,"4,72","4,72","4,67","3,67","5,27","6,20",crpg5
CAGR RECEITAS 5 ANOS,"-0,48%","-1,98%","7,16%","16,83%","11,60%","8,35%",crpg5
CAGR LUCROS 5 ANOS,"-20,01%","-25,39%","-2,85%","26,92%",-%,-%,crpg5
P/L,"4,81","5,21","-12,95","69,06","29,30","31,46",scar3
P/RECEITA (PSR),"1,05","1,13","2,72","8,27","7,54","7,30",scar3
P/VP,"0,86","0,93","0,71","1,52","1,65","1,85",scar3
DIVIDEND YIELD (DY),-,"0,00%","0,79%","0,89%","0,14%","0,78%",scar3
PAYOUT,-,"0,00%","-10,26%","61,36%","4,17%","24,56%",scar3
MARGEM LÍQUIDA,"21,76%","21,76%","-21,00%","11,97%","25,74%","23,19%",scar3
MARGEM BRUTA,"49,42%","49,42%","60,63%","81,40%","80,17%","74,49%",scar3
MARGEM EBIT,"39,43%","39,43%","38,93%","54,11%","64,73%","54,73%",scar3
MARGEM EBITDA,"43,05%","43,05%","57,06%","71,63%","78,77%","66,47%",scar3
EV/EBITDA,"4,39","4,59","12,72","19,74","13,31","15,53",scar3
EV/EBIT,"4,79","5,01","18,64","26,13","16,19","18,86",scar3
P/EBITDA,"2,43","2,63","4,77","11,54","9,57","10,97",scar3
P/EBIT,"2,65","2,88","6,99","15,28","11,65","13,33",scar3
P/ATIVO,"0,41","0,45","0,30","0,69","0,83","0,92",scar3
P/CAP.GIRO,"2,19","2,38","2,88","-9,79","6,89","-2,70",scar3
P/ATIVO CIRC LIQ,"-0,58","-0,63","-0,36","-0,75","-1,03","-1,06",scar3
VPA,"29,62","29,62","25,58","27,06","26,79","25,48",scar3
LPA,"5,28","5,28","-1,40","0,60","1,51","1,50",scar3
GIRO ATIVOS,"0,39","0,39","0,11","0,08","0,11","0,13",scar3
ROE,"17,81%","17,81%","-5,48%","2,21%","5,65%","5,87%",scar3
ROIC,"16,05%","16,05%","3,65%","3,95%","5,89%","5,45%",scar3
ROA,"8,52%","8,52%","-2,36%","0,99%","2,89%","2,94%",scar3
DÍVIDA LÍQUIDA / EBITDA,"1,96","1,96","7,95","8,19","3,73","4,56",scar3
DÍVIDA LÍQUIDA / EBIT,"2,14","2,14","11,66","10,85","4,54","5,53",scar3
DÍVIDA BRUTA / PATRIMÔNIO,"0,91","0,91","1,32","1,15","0,93","0,96",scar3
PATRIMÔNIO / ATIVOS,"0,48","0,48","0,42","0,45","0,50","0,50",scar3
PASSIVOS / ATIVOS,"0,51","0,51","0,58","0,54","0,49","0,94",scar3
LIQUIDEZ CORRENTE,"2,77","2,77","2,56","0,55","2,73","0,28",scar3
CAGR RECEITAS 5 ANOS,"30,33%","30,55%","-6,96%","-8,56%","-6,59%","4,05%",scar3
CAGR LUCROS 5 ANOS,"28,43%","78,85%",-%,"-14,85%","-11,47%","-6,45%",scar3
P/L,"2,72","2,71","-2,93","1,92","1,62","-6,43",ctka4
P/RECEITA (PSR),"0,17","0,17","0,10","0,20","0,34","0,24",ctka4
P/VP,"-1,01","-1,01","-0,40","-0,82","-0,68","-0,29",ctka4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",ctka4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",ctka4
MARGEM LÍQUIDA,"6,31%","6,31%","-3,45%","10,46%","21,17%","-3,69%",ctka4
MARGEM BRUTA,"42,78%","42,78%","35,60%","40,55%","40,30%","40,44%",ctka4
MARGEM EBIT,"10,13%","10,13%","3,02%","12,21%","22,07%","10,29%",ctka4
MARGEM EBITDA,"12,84%","12,84%","3,99%","14,65%","25,09%","13,60%",ctka4
EV/EBITDA,"6,56","6,42","26,01","8,77","7,11","13,08",ctka4
EV/EBIT,"8,31","8,14","34,46","10,52","8,08","17,29",ctka4
P/EBITDA,"1,33","1,33","2,54","1,37","1,37","1,74",ctka4
P/EBIT,"1,69","1,69","3,36","1,64","1,55","2,31",ctka4
P/ATIVO,"0,18","0,18","0,10","0,18","0,26","0,21",ctka4
P/CAP.GIRO,"0,61","0,61","0,42","0,59","1,00","0,72",ctka4
P/ATIVO CIRC LIQ,"-0,59","-0,59","-0,32","-0,60","-0,64","-0,53",ctka4
VPA,"-18,20","-18,20","-24,99","-21,59","-30,85","-43,93",ctka4
LPA,"6,79","6,79","-3,41","9,26","12,97","-2,00",ctka4
GIRO ATIVOS,"1,03","1,03","1,02","0,87","0,75","0,89",ctka4
ROE,"-37,33%","-37,33%","-13,63%","-42,91%","-42,05%","-4,56%",ctka4
ROIC,"16,42%","16,42%","3,82%","15,23%","17,69%","13,57%",ctka4
ROA,"6,53%","6,53%","-3,51%","9,12%","15,83%","-3,27%",ctka4
DÍVIDA LÍQUIDA / EBITDA,"5,21","5,21","22,13","6,93","5,59","11,47",ctka4
DÍVIDA LÍQUIDA / EBIT,"6,60","6,60","29,31","8,31","6,36","15,16",ctka4
DÍVIDA BRUTA / PATRIMÔNIO,"-4,44","-4,44","-3,62","-4,17","-2,79","-1,93",ctka4
PATRIMÔNIO / ATIVOS,"-0,17","-0,17","-0,26","-0,21","-0,38","-0,72",ctka4
PASSIVOS / ATIVOS,"1,17","1,17","1,26","1,21","1,38","1,72",ctka4
LIQUIDEZ CORRENTE,"1,71","1,71","1,57","1,72","1,75","1,95",ctka4
CAGR RECEITAS 5 ANOS,"14,64%","16,10%","14,61%","12,05%","7,67%","0,27%",ctka4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,ctka4
P/L,"18,75","20,75","18,96","24,67","40,03","30,67",bpac3
P/RECEITA (PSR),"3,53","3,91","3,00","8,79","9,95","10,33",bpac3
P/VP,"3,77","4,17","3,51","3,95","4,92","5,40",bpac3
DIVIDEND YIELD (DY),"1,61%","1,45%","1,69%","1,02%","0,88%","1,17%",bpac3
PAYOUT,"30,17%","25,99%","29,39%","33,07%","18,14%","35,97%",bpac3
MARGEM LÍQUIDA,"18,85%","18,85%","15,80%","35,65%","24,86%","33,69%",bpac3
MARGEM BRUTA,"23,47%","23,47%","17,34%","33,71%","-7,36%","31,18%",bpac3
MARGEM EBIT,"24,12%","24,12%","19,52%","47,41%","7,72%","43,67%",bpac3
MARGEM EBITDA,-,"4,84%","18,31%","45,96%","13,57%","38,56%",bpac3
EV/EBITDA,-,"67,24","12,93","14,92","59,84","22,52",bpac3
EV/EBIT,"11,97","13,50","12,12","14,46","105,19","19,88",bpac3
P/EBITDA,-,"80,76","16,36","19,13","73,31","26,80",bpac3
P/EBIT,"14,65","16,22","15,34","18,55","128,86","23,66",bpac3
P/ATIVO,"0,42","0,47","0,40","0,46","0,52","0,65",bpac3
P/CAP.GIRO,"82,80","91,66","14,30","7,50","-9,41","1,26",bpac3
P/ATIVO CIRC LIQ,"-3,95","-4,37","-4,65","-1,42","-1,35","-2,64",bpac3
VPA,"4,29","4,29","3,68","3,25","9,28","7,41",bpac3
LPA,"0,86","0,86","0,68","0,52","1,14","1,30",bpac3
GIRO ATIVOS,"0,12","0,12","0,13","0,05","0,05","0,06",bpac3
ROE,"20,10%","20,10%","18,51%","16,01%","12,29%","17,60%",bpac3
ROIC,"24,67%","24,67%","20,95%","17,57%","-1,85%","20,42%",bpac3
ROA,"2,24%","2,24%","2,12%","1,88%","1,30%","2,13%",bpac3
PATRIMÔNIO / ATIVOS,"0,11","0,11","0,11","0,12","0,11","0,12",bpac3
PASSIVOS / ATIVOS,"1,00","1,00","0,97","0,95","0,97","0,51",bpac3
LIQUIDEZ CORRENTE,"1,01","1,01","1,03","1,10","0,92","3,24",bpac3
CAGR RECEITAS 5 ANOS,"36,43%","47,82%","46,00%","5,25%","2,49%","-0,86%",bpac3
CAGR LUCROS 5 ANOS,"21,48%","50,66%","30,57%","4,88%","41,61%","14,56%",bpac3
P/L,"-0,17",,"-0,12","-0,52","-0,46","-1,52",rpmg3
P/RECEITA (PSR),"0,03",,"0,02","0,09","0,13","0,29",rpmg3
P/VP,"-0,03",,"-0,03","-0,05","-0,06","-0,12",rpmg3
DIVIDEND YIELD (DY),-,,"0,00%","0,00%","0,00%","0,00%",rpmg3
PAYOUT,-,,"0,00%","0,00%","0,00%","0,00%",rpmg3
MARGEM LÍQUIDA,"-16,72%",,"-18,79%","-16,36%","-27,61%","-19,28%",rpmg3
MARGEM BRUTA,"-13,15%",,"-12,68%","-2,78%","-7,38%","3,20%",rpmg3
MARGEM EBIT,"-20,51%",,"-19,38%","-13,07%","-25,80%","-16,45%",rpmg3
MARGEM EBITDA,"-20,30%",,"-19,29%","-12,89%","-25,56%","-16,05%",rpmg3
EV/EBITDA,"-0,14",,"-0,12","-0,67","-0,50","-1,82",rpmg3
EV/EBIT,"-0,14",,"-0,12","-0,66","-0,49","-1,78",rpmg3
P/EBITDA,"-0,14",,"-0,12","-0,67","-0,50","-1,82",rpmg3
P/EBIT,"-0,14",,"-0,12","-0,66","-0,49","-1,78",rpmg3
P/ATIVO,"0,02",,"0,02","0,05","0,06","0,14",rpmg3
P/CAP.GIRO,"-0,03",,"-0,01","-0,06","-0,07","-0,15",rpmg3
P/ATIVO CIRC LIQ,"-0,38",,"-0,03","-0,69","-0,81","-1,67",rpmg3
VPA,"-74,73",,"-66,35","-52,51","-47,16","-41,06",rpmg3
LPA,"-12,20",,"-13,83","-5,35","-6,10","-3,38",rpmg3
GIRO ATIVOS,"0,83",,"0,99","0,53","0,46","0,48",rpmg3
ROE,"-16,32%",,"-20,84%","-10,18%","-12,94%","-8,22%",rpmg3
ROIC,"20,04%",,"21,51%","8,13%","12,09%","7,01%",rpmg3
ROA,"-13,93%",,"-18,55%","-8,62%","-12,76%","-9,17%",rpmg3
DÍVIDA LÍQUIDA / EBITDA,-,,"-0,00","0,000046","0,000024","0,000279",rpmg3
DÍVIDA LÍQUIDA / EBIT,-,,"-0,00","0,000045","0,000023","0,000272",rpmg3
DÍVIDA BRUTA / PATRIMÔNIO,-,,"-0,00","0,00","0,00","0,00",rpmg3
PATRIMÔNIO / ATIVOS,"-0,85",,"-0,89","-0,85","-0,99","-1,12",rpmg3
PASSIVOS / ATIVOS,"1,85",,"11,51","1,85","1,99","2,12",rpmg3
LIQUIDEZ CORRENTE,"0,55",,"0,05","0,55","0,52","0,49",rpmg3
CAGR RECEITAS 5 ANOS,"33,03%",,"48,30%","25,45%","16,06%","37,84%",rpmg3
CAGR LUCROS 5 ANOS,-,,-%,-%,-%,-%,rpmg3
P/L,"-3,77","-3,78","-60,01","3,24","-3,00","-8,99",brkm3
P/RECEITA (PSR),"0,24","0,25","0,21","0,43","0,34","0,48",brkm3
P/VP,"4,33","4,33","2,75","5,75","-9,13","5,15",brkm3
